Frame,Boundary,Phase,Speed,GammaFreq,GammaAmp,MasterFreq,PosX,PosY,PosZ,ThetaBeta,ThetaGamma,ThetaZeta,ThetaPsi,ThetaPhi
318,,0.005309,2.000000,7.550000,70.500000,7.550000,-0.533758,3.035268,6.503237,1.918291,78.276153,1.992974,15.491400,-36.916258
319,,0.006824,2.000000,7.550000,70.500000,7.550000,-0.536111,3.035922,6.505031,2.464064,76.838275,2.544077,15.165155,-36.349409
320,,0.008339,2.000000,7.550000,70.500000,7.550000,-0.538465,3.036575,6.506823,3.008551,75.055250,3.082043,14.760599,-35.646494
321,,0.009854,2.000000,7.550000,70.500000,7.550000,-0.540820,3.037229,6.508615,3.551468,72.936286,3.604094,14.279820,-34.811142
322,,0.011369,2.000000,7.550000,70.500000,7.550000,-0.543175,3.037882,6.510406,4.092532,70.492325,4.107534,13.725302,-33.847668
323,,0.012885,2.000000,7.550000,70.500000,7.550000,-0.545532,3.038535,6.512196,4.631461,67.735986,4.589763,13.099907,-32.761047
324,,0.014400,2.000000,7.550000,70.500000,7.550000,-0.547889,3.039188,6.513985,5.167974,64.681504,5.048290,12.406866,-31.556890
325,,0.015915,2.000000,7.550000,70.500000,7.550000,-0.550246,3.039841,6.515773,5.701790,61.344652,5.480749,11.649756,-30.241415
392,,0.117430,2.000000,7.550000,70.500000,7.550000,-0.709806,3.083306,6.633547,23.517773,63.347810,-5.228722,12.104259,-31.031113
393,,0.118945,2.000000,7.550000,70.500000,7.550000,-0.712211,3.083952,6.635274,23.402998,66.519953,-4.780595,12.823997,-32.281655
394,,0.120460,2.000000,7.550000,70.500000,7.550000,-0.714616,3.084597,6.637001,23.276012,69.400232,-4.307780,13.477513,-33.417137
395,,0.121975,2.000000,7.550000,70.500000,7.550000,-0.717022,3.085242,6.638726,23.136882,71.973773,-3.812721,14.061432,-34.431694
396,,0.123491,2.000000,7.550000,70.500000,7.550000,-0.719429,3.085887,6.640450,22.985681,74.227287,-3.297973,14.572739,-35.320089
397,,0.125006,2.000000,7.550000,70.500000,7.550000,-0.721837,3.086532,6.642174,22.822487,76.149137,-2.766195,15.008794,-36.077733
398,,0.126521,2.000000,7.550000,70.500000,7.550000,-0.724245,3.087177,6.643896,22.647385,77.729399,-2.220132,15.367345,-36.700714
399,,0.128036,2.000000,7.550000,70.500000,7.550000,-0.726654,3.087822,6.645618,22.460468,78.959912,-1.662605,15.646540,-37.185814
400,,0.129551,2.000000,7.550000,70.500000,7.550000,-0.729063,3.088466,6.647339,22.261831,79.834323,-1.096492,15.844938,-37.530530
401,,0.131066,2.000000,7.550000,70.500000,7.550000,-0.731474,3.089111,6.649059,22.051580,80.348115,-0.524717,15.961514,-37.733080
402,YES,0.000131,2.000000,7.955000,74.550000,7.955000,-0.733885,3.089756,6.650778,0.074126,100.497197,0.078682,19.992674,-44.987179
403,,0.001646,2.000000,7.955000,74.550000,7.955000,-0.736296,3.090401,6.652495,0.633240,84.297743,0.677929,16.439824,-38.595284
404,,0.003161,2.000000,7.955000,74.550000,7.955000,-0.738709,3.091045,6.654212,1.215670,83.621176,1.297897,16.290120,-38.334890
405,,0.004677,2.000000,7.955000,74.550000,7.955000,-0.741122,3.091690,6.655928,1.797425,82.522575,1.910424,16.047033,-37.912067
406,,0.006192,2.000000,7.955000,74.550000,7.955000,-0.743535,3.092334,6.657643,2.378183,81.008238,2.512000,15.711957,-37.329238
407,,0.007707,2.000000,7.955000,74.550000,7.955000,-0.745950,3.092979,6.659357,2.957621,79.086846,3.099176,15.286811,-36.589744
